year,week,start_date,end_date,district,leptospirosis_cases_week,leptospirosis_cases_cumulative,parse_method,source_pdf
2007,1,2006.12.30,2007.01.05,Colombo,1,143,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Gampaha,0,211,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Kalutara,2,136,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Kandy,1,101,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Matale,0,31,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Nuwara Eliya,0,12,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Galle,0,72,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Hambantota,0,51,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Matara,6,176,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Jaffna,0,3,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Kilinochchi,0,0,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Mannar,0,1,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Vavuniya,0,2,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Mullaitivu,0,0,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Batticaloa,0,6,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Ampara,0,18,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Trincomalee,1,3,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Kurunegala,0,74,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Puttalam,0,21,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Anuradhapura,1,47,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Polonnaruwa,0,22,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Badulla,1,39,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Monaragala,1,31,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Ratnapura,1,79,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,1,2006.12.30,2007.01.05,Kegalle,3,289,pymupdf_v10,pdfs\2007_w01_vol_34_no_01_english.pdf
2007,2,2007.01.06,2007.01.12,Colombo,3,3,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Gampaha,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Kalutara,3,3,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Kandy,1,1,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Matale,1,1,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Nuwara Eliya,2,2,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Galle,3,3,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Hambantota,1,1,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Matara,7,7,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Jaffna,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Kilinochchi,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Mannar,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Vavuniya,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Mullaitivu,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Batticaloa,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Ampara,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Trincomalee,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Kurunegala,2,2,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Puttalam,1,1,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Anuradhapura,3,3,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Polonnaruwa,1,1,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Badulla,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Monaragala,4,4,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
