month,total_all_districts,Colombo,Gampaha,Kalutara,Kandy,Matale,Nuwara Eliya,Galle,Hambantota,Matara,Jaffna,Kilinochchi,Mannar,Vavuniya,Mullaitivu,Batticaloa,Ampara,Trincomalee,Kurunegala,Puttalam,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Ratnapura,Kegalle,n_weeks_in_month
1/1/2007,141,17,5,16,10,9,2,9,6,16,0,0,0,2,0,0,0,0,4,3,6,5,5,6,3,17,5
2/1/2007,100,8,15,4,10,4,1,6,7,14,0,0,0,0,0,0,0,1,5,1,1,2,6,6,6,3,4
3/1/2007,118,12,36,17,7,0,1,4,2,22,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,9,4
4/1/2007,101,11,21,8,2,1,0,6,2,23,0,0,0,0,0,0,0,0,0,7,1,3,5,4,3,4,4
5/1/2007,82,5,6,7,0,1,2,4,11,21,0,0,0,0,0,0,0,2,2,0,3,0,1,8,3,6,5
6/1/2007,89,8,7,8,7,7,0,1,2,9,0,0,0,0,0,0,0,1,3,1,3,2,5,5,8,12,4
7/1/2007,77,10,12,10,7,4,0,3,2,7,0,0,0,0,0,0,0,1,4,1,0,0,4,3,3,6,5
8/1/2007,80,11,8,2,9,4,0,2,1,14,0,0,0,0,0,0,1,2,1,2,0,0,6,1,7,9,4
9/1/2007,141,14,10,20,5,3,0,19,3,27,0,0,1,0,0,0,2,0,11,4,3,1,4,2,5,7,4
10/1/2007,261,13,21,28,10,5,4,21,4,66,0,0,0,0,0,0,0,0,23,2,2,0,1,2,12,47,5
11/1/2007,337,15,61,43,34,30,1,30,5,30,0,0,0,1,0,0,3,0,20,3,2,1,0,2,10,46,4
12/1/2007,347,20,33,42,33,57,1,47,10,27,0,0,0,0,0,0,3,1,10,3,14,0,3,8,4,31,4
1/1/2008,226,9,13,15,18,60,3,35,13,17,0,0,0,0,0,0,2,1,4,1,8,2,3,9,4,9,5
2/1/2008,162,11,12,24,12,27,5,13,8,14,0,0,0,0,0,0,2,3,4,0,5,3,2,2,10,5,4
3/1/2008,348,73,36,46,15,28,2,34,10,47,0,0,0,1,0,0,0,3,8,0,3,1,2,7,12,20,4
4/1/2008,670,41,55,55,55,80,4,59,13,63,0,1,0,2,0,1,2,4,50,4,67,23,4,26,18,43,5
5/1/2008,571,24,40,47,76,133,10,15,7,19,0,0,0,0,0,1,3,2,34,1,69,6,7,19,9,49,4
6/1/2008,501,24,21,72,56,89,5,24,9,19,0,0,0,1,0,1,0,9,31,13,33,16,8,9,14,47,4
7/1/2008,324,43,25,41,41,43,3,23,3,18,0,0,0,0,0,0,1,4,27,8,3,1,2,3,9,26,5
8/1/2008,608,75,131,34,21,12,4,20,7,46,0,0,0,0,0,1,3,2,171,8,4,1,11,1,5,51,4
9/1/2008,1348,382,167,117,49,34,9,77,13,114,0,0,0,0,0,0,4,0,168,17,12,4,12,3,20,146,5
10/1/2008,560,95,81,68,49,20,13,45,6,33,0,0,0,0,0,0,0,0,29,8,1,8,8,3,21,72,4
11/1/2008,585,97,50,62,53,62,9,36,26,30,0,0,0,1,0,2,1,2,69,3,10,12,5,1,16,38,4
12/1/2008,430,61,23,39,40,74,7,27,18,27,0,0,0,0,0,1,2,1,15,5,11,27,4,8,15,25,5
